Person_ID,Name,Age,Gender,Sexual_Orientation,Era,Relationship_Start_Date,Relationship_End_Date,Relationship_Duration,Relationship_Type,Commitment_Level,Breakup_Reason,Conflict_Frequency,First_Fight_Topic,Last_Text_Exchanged,Mutual_Breakup,Closure_Given,Rebound_After_Days,Avg_Texts_Per_Day,First_Message,Sweet_Terms_Used,Ghosting_Days_Count,Longest_Conversation,Streak_Days,Deleted_Texts_Count,Mood_Before,Mood_During,Mood_After,Trust_Score,Emotional_Dependency_Score,Regret_Level,Self_Esteem_After,Lessons_Learned,Playlist_Shared,Theme_Song,Photos_Shared_Count,Places_Visited_Together,Anniversary_Celebrated,Memory_Value_Score,Love_Growth_Trend,Attachment_Style,Breakup_Recovery_Days,Communication_Style,Emotional_Intensity,Compatibility_Score
644,Justin,19,Other,Homosexual,Modern,2019-05-04,2019-10-01,150 days,Casual,Engaged,Career priorities,Medium,Trust,Game woman role animal traditional at decision in.,No,Yes,65,29,May sure ok rate way back defense part work we new could nor will high support.,47,20,148,24,1,Resigned,Excited,Bitter,3,3,1,Same,Learn to forgive,Yes,Say You Won't Let Go,34,18,No,6,Decline,Avoidant,320,Open,4,8
645,Jennifer,36,Other,Bisexual,Past,2016-09-18,2018-02-11,511 days,Long-term,Casual,Ghosting,High,Trust,Beat writer same career case short fly nation the it fund out charge side meeting.,Yes,Yes,95,22,At event boy body mind figure that.,46,13,25,10,5,Hopeful,Calm,Confident,3,7,4,Lower,Value your time,Yes,Stay With Me,20,14,Yes,4,Decline,Avoidant,303,Open,5,8
646,Lisa,30,Female,Bisexual,Modern,2022-10-15,2023-03-20,156 days,Flings,Serious,Arguments and fights,Medium,Family interference,Standard left on move sure member eat college want technology front explain.,Yes,No,25,68,They move trial treatment can writer.,36,16,174,16,2,Bitter,Confident,Heartbroken,5,7,3,Higher,Learn to forgive,No,Stay With Me,11,14,No,1,Decline,Secure,190,Avoidant,9,7
647,Jennifer,18,Other,Pansexual,Past,2012-04-29,2014-10-03,887 days,Situationship,Serious,Family disapproval,Medium,Communication,Local boy forget behavior.,No,No,129,26,Part new travel consider speech grow economic evidence most.,18,22,19,37,3,Bitter,Excited,Excited,2,7,3,Higher,Choose wisely,No,Someone Like You,31,18,Yes,7,Early spike,Anxious,36,Avoidant,9,9
648,Julie,26,Other,Bisexual,Modern,2004-12-12,2007-04-08,847 days,Long-distance,Serious,Addiction issues,High,Money,Perform bank skill.,Yes,No,93,6,Lead stay true town reflect tree enjoy doctor consider professional.,19,7,139,45,14,Numb,Resigned,Excited,9,7,6,Lower,Set boundaries,No,Perfect,84,11,No,1,Early spike,Avoidant,195,Avoidant,3,4
649,Jason,39,Non-binary,Heterosexual,Modern,2018-09-24,2020-08-21,697 days,Casual,Casual,Mental health problems,Medium,Jealousy,Beyond like scene executive at room southern wait.,Yes,No,92,16,Size our through baby might.,5,15,31,56,0,Shy,Bitter,Calm,5,5,8,Higher,Learn to forgive,No,Stay With Me,85,13,No,7,Decline,Anxious,188,Open,3,5
650,Molly,34,Other,Homosexual,Past,2009-05-28,2009-12-18,204 days,Long-term,Casual,Mental health problems,Low,Career,South force Mrs walk fast three.,Yes,Yes,61,21,Natural project and good democratic soldier rest military down big effect.,39,13,54,43,7,Numb,Excited,Hopeful,3,10,8,Lower,Love is not enough,Yes,Shape of You,81,8,No,8,Gradual,Anxious,38,Passive,8,4
651,Howard,26,Female,Bisexual,Modern,2018-10-20,2020-11-11,753 days,Long-term,Casual,Ghosting,High,Money,Goal begin shoulder parent term.,No,Yes,92,95,Often approach natural trip son.,41,24,91,4,13,Bitter,Calm,Bitter,6,7,9,Same,Be yourself,No,Stay With Me,45,18,Yes,8,Early spike,Avoidant,53,Avoidant,3,9
652,Cynthia,31,Other,Asexual,Modern,2017-04-27,2019-04-05,708 days,Situationship,Engaged,Mental health problems,Medium,Trust,Contain story career discover suffer us admit message western design whole stock set however example range.,Yes,No,74,31,Face respond watch seek yet actually.,7,6,121,34,0,Calm,Numb,Confident,4,8,3,Lower,Be yourself,Yes,Thinking Out Loud,95,5,Yes,8,Decline,Avoidant,334,Avoidant,6,5
653,Tracy,32,Other,Homosexual,Modern,2011-12-15,2013-03-20,461 days,Long-distance,Undefined,Moved away,High,Money,Maybe identify though develop else dark Democrat wear fight require office.,No,No,95,36,Imagine allow whose usually authority movie laugh decide woman each to send administration.,3,9,24,30,10,Excited,Excited,Confident,9,6,10,Same,Communication is key,Yes,Stay With Me,33,9,No,6,Gradual,Secure,126,Avoidant,2,2
654,Brittany,24,Non-binary,Bisexual,Past,2004-09-06,2006-02-12,524 days,Situationship,Casual,Long distance strain,Medium,Money,Final however action although bring natural until only base.,Yes,No,130,36,Member drug relationship set current or development hot work follow movement deal.,35,1,83,49,13,Joyful,Joyful,Bitter,6,3,3,Same,Self-love matters,Yes,Shape of You,38,2,No,6,Gradual,Anxious,61,Passive,9,7
655,George,25,Female,Bisexual,Past,2023-02-05,2023-12-17,315 days,Long-distance,Undefined,Arguments and fights,High,Priorities,Along executive usually establish.,No,Yes,150,11,Control support exactly something let star same increase training produce discussion eight.,25,20,44,27,14,Shy,Numb,Bitter,5,4,3,Higher,Learn to forgive,Yes,Thinking Out Loud,69,12,No,1,Early spike,Anxious,220,Passive,6,10
656,John,20,Non-binary,Pansexual,Modern,2022-02-10,2023-03-10,393 days,Casual,Engaged,Family disapproval,High,Priorities,Address environment feeling none section make mouth hot Republican.,Yes,No,156,42,Cover bar under power case hard discuss physical especially man there school ability physical could painting.,30,16,17,35,6,Resigned,Excited,Calm,10,10,10,Higher,Learn to forgive,No,Blinding Lights,89,18,Yes,9,Early spike,Avoidant,80,Passive,9,1
657,Daniel,28,Female,Pansexual,Modern,2010-10-05,2011-02-19,137 days,Casual,Undefined,Third-party interference,Low,Priorities,Although college participant also today detail his agency program.,Yes,Yes,93,67,Teacher must later executive meet husband treatment friend sea human defense.,1,12,164,35,17,Joyful,Numb,Joyful,3,7,2,Higher,Self-love matters,No,Thinking Out Loud,3,4,No,3,Early spike,Secure,150,Avoidant,1,3
658,Steven,23,Female,Heterosexual,Modern,2012-02-21,2012-06-22,122 days,Long-distance,Casual,Ghosting,High,Future plans,Garden long could become stay amount serious help somebody candidate whether enter up.,No,No,51,100,Control commercial forward magazine to nearly nor.,21,8,179,27,1,Calm,Confident,Joyful,8,3,10,Higher,Be honest,No,Let Her Go,11,10,Yes,1,Early spike,Anxious,54,Avoidant,10,2
659,Peggy,20,Male,Homosexual,Modern,2006-02-09,2006-09-19,222 days,Long-distance,Engaged,Addiction issues,Low,Family interference,Sing kitchen alone material bad law kid open.,No,No,74,8,Knowledge condition foot level.,4,9,29,9,3,Resigned,Confident,Heartbroken,2,9,7,Same,Value your time,Yes,Photograph,6,7,No,5,Gradual,Anxious,190,Open,10,6
660,Jeremy,30,Male,Bisexual,Modern,2007-07-14,2008-01-28,198 days,Flings,Engaged,Trust issues,Low,Future plans,Walk story opportunity allow push enough glass low east.,No,No,135,22,Unit past control voice mission late Mrs positive be.,10,9,86,46,13,Numb,Bitter,Heartbroken,5,6,8,Same,Be yourself,Yes,Photograph,77,17,Yes,6,Decline,Anxious,346,Open,10,6
661,Tammy,29,Non-binary,Heterosexual,Past,2013-07-11,2014-04-23,286 days,Flings,Engaged,Trust issues,High,Money,Ground treat head center less hard partner much write military scene.,No,Yes,53,66,Approach woman bar maybe inside cup.,10,30,103,44,12,Numb,Calm,Confident,3,7,2,Same,Choose wisely,Yes,Let Her Go,80,19,Yes,2,Gradual,Avoidant,51,Open,8,2
662,Logan,35,Male,Homosexual,Past,2008-06-08,2010-11-23,898 days,Situationship,Undefined,Loss of feelings,High,Career,Wear throughout change meeting risk.,No,No,56,1,Talk speak identify strategy.,29,30,171,45,1,Joyful,Calm,Numb,6,1,4,Higher,Communication is key,No,Someone Like You,17,12,Yes,3,Decline,Avoidant,292,Avoidant,8,7
663,Donald,45,Female,Pansexual,Modern,2001-10-10,2003-08-14,673 days,Casual,Undefined,Long distance strain,Low,Priorities,Enjoy manager pick generation rather.,Yes,No,76,26,Reality fall between writer star mother head evidence include common major full husband serve room wrong.,14,16,117,22,15,Numb,Calm,Bitter,5,4,8,Same,Be yourself,No,Blinding Lights,35,15,No,4,Decline,Secure,93,Passive,4,4
664,Lisa,41,Female,Asexual,Modern,2010-08-10,2012-11-12,825 days,Flings,Undefined,Addiction issues,Medium,Jealousy,Stock however professional save another pull yet financial away child popular six every.,No,No,47,39,Large good item performance control.,39,11,153,32,8,Heartbroken,Shy,Calm,5,5,9,Lower,Be honest,No,Perfect,2,12,No,3,Gradual,Secure,332,Avoidant,1,4
665,Omar,30,Other,Pansexual,Modern,2020-08-06,2022-07-24,717 days,Situationship,Serious,Loss of feelings,Low,Jealousy,Skin note of which two style war create bank tax.,No,Yes,38,67,Glass debate animal south remember project fall spend according activity campaign.,1,17,64,16,7,Heartbroken,Excited,Heartbroken,4,8,7,Higher,Love is not enough,Yes,Perfect,31,13,No,8,Decline,Secure,281,Open,8,5
666,Ronald,22,Non-binary,Bisexual,Modern,2007-07-05,2009-01-29,574 days,Long-term,Engaged,Trust issues,High,Communication,Too against economy civil.,No,Yes,62,23,Sing he artist drive husband sit.,11,14,157,14,20,Hopeful,Hopeful,Numb,2,3,3,Same,Set boundaries,Yes,All of Me,45,20,No,10,Decline,Avoidant,211,Avoidant,2,1
667,Katherine,30,Non-binary,Pansexual,Modern,2007-09-19,2009-01-14,483 days,Flings,Undefined,Infatuation fade,Medium,Career,Her story resource week country west whether moment.,No,Yes,92,83,Political on reach cultural employee western glass ground able sit.,36,14,69,18,0,Excited,Joyful,Joyful,1,8,4,Lower,Communication is key,No,Perfect,55,11,No,1,Gradual,Avoidant,208,Passive,6,4
668,Brittany,36,Male,Heterosexual,Modern,2008-09-26,2009-03-22,177 days,Casual,Undefined,Different life goals,High,Communication,Century away say provide.,Yes,Yes,175,32,Bad weight fast north anyone truth camera surface price morning image expect.,30,10,106,18,20,Shy,Heartbroken,Calm,4,2,6,Lower,Choose wisely,No,Stay With Me,99,10,Yes,6,Gradual,Secure,319,Open,10,6
669,Bradley,43,Non-binary,Pansexual,Modern,2012-11-01,2014-02-18,474 days,Long-term,Engaged,Ghosting,High,Trust,Determine claim third appear box country production son establish support glass choose without.,Yes,Yes,70,11,Activity public no story former glass important mouth truth.,45,18,174,21,18,Shy,Bitter,Heartbroken,10,4,3,Lower,Be honest,No,Photograph,19,12,No,2,Decline,Secure,210,Passive,10,8
670,Timothy,37,Non-binary,Heterosexual,Modern,2016-11-20,2018-02-13,450 days,Flings,Engaged,Third-party interference,Low,Jealousy,One since at believe table.,No,No,74,74,Watch smile use animal sense describe work lead tough.,41,3,5,50,17,Numb,Hopeful,Bitter,10,4,7,Same,Value your time,Yes,Thinking Out Loud,90,13,No,8,Early spike,Secure,186,Passive,7,4
671,Laura,44,Female,Pansexual,Modern,2022-04-04,2024-04-15,742 days,Long-distance,Undefined,Different life goals,Medium,Jealousy,May whether address movement Mrs herself conference a they standard key.,No,Yes,180,49,Particularly dog nothing firm how.,22,1,87,42,16,Numb,Hopeful,Numb,8,3,9,Lower,Be honest,No,Say You Won't Let Go,49,17,Yes,6,Early spike,Anxious,0,Avoidant,3,10
672,Eric,41,Female,Bisexual,Modern,2009-05-12,2011-06-20,769 days,Casual,Casual,Career priorities,Low,Priorities,Election allow know evening three.,Yes,No,85,3,Last these edge perform follow nothing national usually huge nothing.,14,22,49,58,5,Confident,Excited,Bitter,3,9,7,Lower,Trust actions not words,Yes,Shape of You,43,9,Yes,4,Gradual,Avoidant,238,Avoidant,4,3
673,Stephanie,30,Non-binary,Bisexual,Modern,2002-09-17,2002-12-28,102 days,Situationship,Serious,Jealousy,Low,Family interference,Relationship class woman reach.,No,No,109,57,Congress international challenge society voice which finish market degree bill check hotel church inside.,38,10,82,28,13,Excited,Resigned,Calm,3,1,10,Higher,Be yourself,No,Photograph,58,13,No,9,Decline,Secure,213,Passive,6,9
674,Ashley,42,Other,Pansexual,Modern,2021-04-20,2022-06-11,417 days,Situationship,Undefined,Different life goals,High,Jealousy,Sell beat once performance significant west its.,Yes,No,74,89,Church address popular strong chance concern church direction detail.,5,16,169,15,4,Confident,Joyful,Hopeful,8,7,9,Higher,Set boundaries,No,Thinking Out Loud,28,9,Yes,1,Early spike,Anxious,360,Open,9,8
675,Ryan,24,Male,Asexual,Modern,2002-04-16,2004-03-29,713 days,Long-distance,Engaged,Mismatch of values,High,Communication,Brother tax within Republican artist mouth.,Yes,No,49,73,Technology upon build education reason reveal represent own subject financial hit message over player call food drug.,44,9,71,54,12,Bitter,Resigned,Joyful,4,8,6,Higher,Trust actions not words,Yes,Perfect,78,20,Yes,3,Early spike,Secure,355,Open,1,2
676,Samuel,30,Non-binary,Heterosexual,Modern,2006-09-15,2009-03-01,898 days,Long-distance,Serious,Family disapproval,Low,Social media use,Site measure executive campaign fill last what ability personal always there impact five song system rock left above hospital.,No,Yes,21,22,Control record note drive end notice wall.,1,15,103,30,5,Excited,Numb,Resigned,6,10,10,Higher,Choose wisely,No,Thinking Out Loud,16,9,No,7,Decline,Anxious,284,Passive,7,9
677,Claudia,21,Non-binary,Homosexual,Modern,2023-06-26,2024-03-20,268 days,Situationship,Serious,Arguments and fights,Low,Social media use,Peace tend agency explain.,Yes,No,53,60,Always wait employee travel house get main board action.,28,15,54,18,17,Confident,Numb,Excited,4,3,8,Higher,Choose wisely,Yes,Blinding Lights,82,17,No,7,Decline,Secure,104,Passive,7,3
678,Jermaine,19,Other,Bisexual,Modern,2006-07-27,2007-03-05,221 days,Long-term,Undefined,Infatuation fade,Medium,Priorities,Hour group land.,No,Yes,24,30,Interest he determine reach there plant issue assume.,0,6,105,23,7,Excited,Numb,Confident,6,2,9,Same,Value your time,Yes,All of Me,50,14,Yes,9,Decline,Avoidant,260,Open,3,5
679,Luis,39,Other,Heterosexual,Past,2007-11-08,2009-11-05,728 days,Flings,Serious,Family disapproval,Low,Jealousy,The because property radio rate analysis start mean.,Yes,No,74,40,Hospital idea manage cover share how staff.,38,11,148,56,18,Resigned,Numb,Calm,3,4,3,Higher,Be honest,No,Stay With Me,49,3,Yes,2,Early spike,Secure,24,Avoidant,4,3
680,Daniel,37,Non-binary,Bisexual,Modern,2009-03-25,2010-05-10,411 days,Situationship,Serious,Different life goals,Medium,Jealousy,Light have generation thought guy some kind mouth these fight participant quickly respond.,Yes,Yes,7,68,On choice each budget over something thousand right.,41,28,180,60,4,Joyful,Excited,Hopeful,2,6,6,Higher,Value your time,Yes,Stay With Me,41,0,No,4,Early spike,Secure,18,Avoidant,9,6
681,Johnny,18,Male,Homosexual,Modern,2023-05-21,2025-08-18,820 days,Flings,Serious,Arguments and fights,Low,Communication,Ability smile face miss sister alone identify.,No,Yes,33,75,So area change bank tree gas son manager its reason your wall world trouble.,13,30,179,35,18,Bitter,Numb,Shy,3,5,3,Lower,Learn to forgive,Yes,Shape of You,52,6,No,7,Early spike,Avoidant,331,Avoidant,5,7
682,Joel,29,Male,Heterosexual,Modern,2023-10-25,2025-02-16,480 days,Long-term,Casual,Emotional unavailability,High,Social media use,Team list treat price particular tell land strong budget lawyer camera model perhaps Congress yourself much ability spring large.,Yes,Yes,159,50,Class suddenly hospital although measure again difficult local.,12,19,44,51,13,Shy,Confident,Hopeful,4,1,6,Lower,Self-love matters,No,All of Me,26,11,No,6,Gradual,Avoidant,360,Avoidant,9,4
683,Alicia,21,Non-binary,Homosexual,Modern,2009-03-02,2009-10-01,213 days,Casual,Serious,Mental health problems,Low,Time management,Song second education training paper weight.,No,No,93,84,Director system act standard end kid outside two admit main understand score perform through contain four.,27,29,64,31,10,Shy,Bitter,Excited,6,5,8,Higher,Value your time,No,Photograph,7,17,No,7,Gradual,Avoidant,305,Passive,2,8
684,Danielle,37,Non-binary,Homosexual,Modern,2022-07-10,2023-03-13,246 days,Flings,Engaged,Emotional unavailability,High,Career,Create blue bed teacher ability soon without size eat protect resource police.,No,No,82,61,Clearly recognize develop usually forget college.,41,15,97,8,6,Numb,Excited,Heartbroken,1,10,4,Higher,Be honest,Yes,Photograph,75,12,No,7,Gradual,Anxious,39,Open,3,4
685,Charles,21,Non-binary,Asexual,Modern,2009-04-02,2011-01-29,667 days,Long-distance,Casual,Financial problems,High,Family interference,Reality else without go hit artist feel information.,No,No,129,50,Single he onto.,15,29,43,55,18,Hopeful,Excited,Bitter,8,1,5,Higher,Be honest,No,All of Me,12,10,No,7,Decline,Anxious,0,Passive,1,3
686,Erin,41,Female,Bisexual,Modern,2012-03-11,2013-04-23,408 days,Long-distance,Undefined,Lack of communication,High,Social media use,Pick hair employee analysis and out each theory red whether.,No,Yes,178,55,Stay assume clearly indicate begin break chance bank trade story suddenly research drug.,16,8,34,11,1,Excited,Excited,Calm,10,6,3,Higher,Choose wisely,Yes,Let Her Go,49,19,No,3,Early spike,Anxious,151,Open,6,7
687,Megan,29,Non-binary,Bisexual,Modern,2009-11-27,2011-07-18,598 days,Long-term,Engaged,Lack of communication,High,Social media use,Be table student contain hit finally.,No,Yes,81,7,Him understand increase stop.,31,13,152,21,16,Heartbroken,Heartbroken,Resigned,9,2,1,Higher,Be honest,No,Let Her Go,64,12,No,2,Early spike,Secure,329,Passive,9,1
688,Sharon,43,Non-binary,Asexual,Modern,2020-09-11,2022-12-07,817 days,Situationship,Casual,Career priorities,High,Communication,Politics difference help research knowledge good realize letter bag history finish despite everybody might.,No,No,0,9,Opportunity young recently challenge ok successful anything character threat serve prevent hair data notice.,25,28,178,44,4,Bitter,Excited,Confident,6,6,1,Same,Learn to forgive,No,All of Me,20,6,Yes,10,Decline,Secure,349,Avoidant,8,6
689,Bobby,42,Non-binary,Bisexual,Modern,2011-07-27,2013-09-30,796 days,Long-term,Serious,Addiction issues,Low,Money,Our enjoy gun expect page direction democratic impact yet coach indeed imagine adult well task.,No,Yes,72,65,Team scientist fire.,25,30,86,31,14,Joyful,Heartbroken,Hopeful,5,8,1,Same,Communication is key,Yes,Blinding Lights,67,13,No,3,Gradual,Secure,112,Passive,10,2
690,Chad,30,Other,Heterosexual,Past,2020-08-09,2022-08-04,725 days,Situationship,Engaged,Trust issues,Low,Social media use,Over now lead join beat nature seven term heart first pass eat power.,Yes,No,118,45,Its however everyone computer must once occur treat activity late door rich hand need wonder bag add.,4,22,144,20,12,Heartbroken,Bitter,Resigned,1,3,5,Same,Set boundaries,Yes,Let Her Go,63,15,No,7,Early spike,Avoidant,338,Open,5,8
691,Michael,35,Male,Bisexual,Modern,2007-04-04,2009-03-14,710 days,Flings,Serious,Mental health problems,Low,Family interference,Tv responsibility response week level determine start analysis employee author thing class.,Yes,Yes,67,48,Until artist store understand town quite right year.,21,25,58,23,10,Shy,Numb,Numb,5,8,2,Lower,Love is not enough,Yes,Photograph,95,14,Yes,8,Decline,Avoidant,130,Avoidant,5,4
692,Sheila,23,Non-binary,Bisexual,Past,2012-02-26,2013-05-18,447 days,Flings,Engaged,Infatuation fade,Medium,Future plans,Rest coach technology piece among various important general matter.,No,No,163,13,Record rule night matter fall land scene whole send as.,40,4,77,11,4,Joyful,Shy,Hopeful,7,5,2,Higher,Be honest,Yes,Perfect,13,17,Yes,6,Decline,Anxious,158,Open,5,9
693,Kathy,35,Male,Asexual,Past,2015-12-31,2017-10-29,668 days,Flings,Serious,Trust issues,High,Time management,Life wide simply act war he machine machine above friend space camera education partner fear deal boy close popular.,Yes,Yes,14,91,Edge them church help make age sea but behind discuss police reach.,29,25,85,19,2,Hopeful,Excited,Calm,9,3,1,Higher,Trust actions not words,No,Photograph,37,19,Yes,4,Early spike,Avoidant,55,Passive,8,3
694,Jessica,43,Male,Pansexual,Modern,2023-04-20,2023-09-10,143 days,Long-term,Casual,Family disapproval,Medium,Trust,Face so one south box instead ability hold exactly nothing similar simply quickly yourself music rich treat.,Yes,No,22,49,Left five science card enjoy.,12,25,149,24,3,Joyful,Hopeful,Hopeful,8,2,2,Lower,Value your time,No,Someone Like You,87,9,No,4,Decline,Anxious,10,Avoidant,2,9
695,Patty,34,Male,Asexual,Modern,2004-12-10,2007-03-25,835 days,Casual,Engaged,Financial problems,High,Time management,Make early citizen his research vote soon let far almost less type safe.,Yes,Yes,24,50,Someone science point.,39,1,32,31,4,Bitter,Shy,Excited,6,2,6,Higher,Trust actions not words,No,Let Her Go,44,12,No,3,Gradual,Anxious,202,Passive,8,9
696,Heather,40,Female,Homosexual,Modern,2016-02-01,2016-11-10,283 days,Long-distance,Undefined,Different life goals,Medium,Money,Reveal western garden politics what camera especially he.,Yes,No,61,11,Organization say number quite walk record professional.,27,27,134,36,1,Excited,Bitter,Calm,7,3,7,Higher,Learn to forgive,No,Let Her Go,95,11,Yes,9,Gradual,Anxious,108,Passive,9,7
697,Jessica,33,Non-binary,Heterosexual,Modern,2006-03-14,2006-10-06,206 days,Casual,Engaged,Financial problems,Low,Jealousy,Eat become former.,Yes,No,117,12,Individual marriage quality entire matter dream police form.,35,25,23,21,6,Heartbroken,Joyful,Calm,4,1,7,Lower,Choose wisely,No,Say You Won't Let Go,3,20,Yes,6,Decline,Secure,188,Passive,10,5
698,Richard,32,Non-binary,Homosexual,Past,2023-05-24,2024-03-29,310 days,Flings,Engaged,Third-party interference,Low,Trust,Owner idea push growth guy position stuff summer far analysis something property important.,Yes,Yes,37,42,Of weight anything property tend condition between upon whether specific land your easy scene specific heart.,41,16,141,29,6,Resigned,Hopeful,Bitter,4,2,7,Same,Communication is key,No,Let Her Go,9,18,Yes,3,Decline,Secure,276,Passive,10,8
699,Sarah,25,Non-binary,Pansexual,Modern,2013-10-10,2015-12-20,801 days,Situationship,Engaged,Financial problems,Low,Trust,Account adult market look economy authority per consumer.,Yes,Yes,178,7,Join ever because by land fight hard civil seven design realize people security door religious.,17,29,102,16,0,Joyful,Confident,Hopeful,1,7,3,Lower,Learn to forgive,Yes,Let Her Go,71,14,No,7,Early spike,Secure,310,Avoidant,3,2
700,Jason,18,Other,Homosexual,Modern,2012-03-19,2013-02-25,343 days,Situationship,Casual,Arguments and fights,Medium,Priorities,Good keep ground themselves mother market center again population page would treatment whether threat ball benefit economic step project Democrat.,No,Yes,77,28,Affect anything son top agree evidence use.,17,10,153,8,3,Excited,Bitter,Confident,8,6,4,Lower,Choose wisely,No,Someone Like You,88,11,No,3,Decline,Anxious,259,Avoidant,9,5
701,Jennifer,28,Other,Homosexual,Modern,2002-05-14,2004-04-28,715 days,Situationship,Casual,Third-party interference,High,Family interference,Within create friend occur whole sense include go owner recently idea.,Yes,Yes,89,63,Bring table professional south may everyone daughter industry street carry through to price stay.,23,14,80,59,9,Resigned,Resigned,Joyful,8,3,8,Lower,Be yourself,Yes,All of Me,80,16,No,5,Gradual,Anxious,269,Open,6,10
702,Chad,19,Female,Pansexual,Past,2021-11-26,2022-03-21,115 days,Long-distance,Serious,Jealousy,Low,Communication,May line interesting realize measure area.,Yes,No,89,91,Tax last star throw sure modern run happen professor compare Republican fund alone bank.,15,5,21,39,7,Hopeful,Hopeful,Resigned,6,5,2,Lower,Learn to forgive,Yes,Photograph,25,7,No,8,Decline,Avoidant,246,Avoidant,10,1
703,Kristin,43,Other,Pansexual,Past,2002-04-23,2004-01-20,637 days,Situationship,Engaged,Career priorities,Medium,Money,Blue ask project serious.,Yes,No,74,7,Admit audience court then free lay.,4,2,14,23,7,Confident,Shy,Calm,3,6,10,Lower,Love is not enough,No,Someone Like You,0,9,No,5,Decline,Anxious,291,Avoidant,7,10
704,Helen,20,Male,Asexual,Modern,2001-06-03,2003-10-20,869 days,Flings,Serious,Emotional unavailability,Low,Priorities,Across these exactly stay reality sit decision identify true respond.,No,No,87,72,Wind chance five lay.,33,15,158,7,14,Confident,Bitter,Excited,6,1,10,Same,Value your time,Yes,Blinding Lights,33,5,Yes,5,Gradual,Secure,278,Open,3,1
705,Matthew,36,Non-binary,Asexual,Modern,2019-03-10,2019-06-11,93 days,Flings,Serious,Emotional unavailability,High,Social media use,Arm be up word some allow.,Yes,No,1,48,Possible hair country others however.,19,17,150,15,17,Hopeful,Hopeful,Confident,10,7,1,Lower,Choose wisely,Yes,Blinding Lights,23,1,No,10,Early spike,Secure,257,Open,2,3
706,Fred,45,Non-binary,Bisexual,Modern,2012-01-31,2014-01-25,725 days,Long-distance,Undefined,Different life goals,Low,Time management,Financial down any notice involve spring behavior think.,No,No,5,34,Star wait computer major animal dream.,12,21,153,56,6,Resigned,Heartbroken,Joyful,3,10,3,Same,Learn to forgive,No,Someone Like You,99,20,No,10,Early spike,Anxious,12,Open,6,1
707,John,37,Male,Heterosexual,Modern,2017-03-16,2017-04-23,38 days,Long-distance,Undefined,Long distance strain,Medium,Time management,Where minute throw book federal from interesting address environment.,Yes,Yes,62,83,She challenge music price out.,23,1,32,59,16,Shy,Excited,Resigned,3,8,1,Higher,Be yourself,No,Stay With Me,38,7,No,1,Early spike,Secure,166,Passive,3,1
708,Robert,23,Other,Pansexual,Past,2018-04-02,2018-12-12,254 days,Situationship,Undefined,Third-party interference,High,Future plans,Low machine professor administration create through another.,No,No,18,80,Whose nearly computer base especially want difficult smile I space most idea interview simply cost.,48,12,84,53,10,Heartbroken,Hopeful,Joyful,5,1,9,Higher,Trust actions not words,No,Stay With Me,100,1,No,10,Early spike,Avoidant,343,Passive,7,5
709,Sandra,32,Female,Bisexual,Modern,2009-05-13,2011-06-06,754 days,Flings,Engaged,Family disapproval,Medium,Social media use,Better fund force would attack once quickly game.,No,No,4,38,Station argue land always member leader argue guy check system only fall population worry man field debate.,13,7,132,29,19,Resigned,Confident,Bitter,6,4,3,Same,Value your time,No,Thinking Out Loud,36,19,Yes,2,Gradual,Avoidant,222,Passive,3,9
710,Susan,31,Female,Asexual,Modern,2012-04-12,2012-05-23,41 days,Flings,Casual,Career priorities,High,Priorities,Thing run son fine require treat material again hundred sister.,No,No,69,30,Smile hotel guy trade former blue citizen money fill offer option region.,43,22,151,23,18,Shy,Calm,Joyful,9,3,9,Same,Love is not enough,Yes,Someone Like You,24,15,Yes,4,Decline,Secure,112,Avoidant,10,5
711,Stacey,34,Male,Asexual,Modern,2023-07-19,2025-09-22,796 days,Flings,Casual,Family disapproval,High,Trust,Stage success author test white.,Yes,Yes,115,21,Week among energy network relate finish strategy.,12,13,74,11,14,Confident,Bitter,Resigned,4,5,10,Same,Set boundaries,Yes,Photograph,89,0,No,4,Early spike,Secure,213,Open,5,3
712,Ashley,43,Male,Homosexual,Past,2004-11-12,2005-02-26,106 days,Casual,Engaged,Ghosting,Medium,Family interference,Wife recently place no end us on energy thus machine than customer.,Yes,No,94,49,Lawyer table know wonder until training rich.,47,5,49,36,2,Joyful,Resigned,Excited,4,3,5,Higher,Choose wisely,Yes,Perfect,26,8,Yes,2,Early spike,Avoidant,127,Passive,7,8
713,Michelle,41,Male,Homosexual,Modern,2001-07-08,2001-10-31,115 days,Long-term,Undefined,Arguments and fights,High,Communication,Pressure key while first course society.,Yes,No,173,75,Western five TV explain follow cultural value new consider.,0,29,92,34,11,Resigned,Excited,Hopeful,10,6,3,Same,Learn to forgive,Yes,Stay With Me,29,13,Yes,7,Decline,Avoidant,163,Passive,10,5
714,Aimee,35,Other,Bisexual,Modern,2010-02-20,2011-05-29,463 days,Long-distance,Serious,Different life goals,Medium,Communication,Exactly those trip board.,Yes,No,1,97,Her affect gun try be sit Democrat.,45,22,116,37,13,Bitter,Calm,Resigned,2,10,1,Higher,Choose wisely,No,Someone Like You,69,17,Yes,3,Early spike,Secure,20,Passive,8,7
